Author,Title,URL,Description,Published
Caitlin Foley,5 Tips for Ensuring That Your Elementary Classroom Is Inclusive,https://www.edutopia.org/article/tips-creating-inclusive-classroom-elementary-school,Teachers can design a learning environment that helps their students know they belong and can access multiple avenues to success.,13-Dec-23
Jennifer Wood,6 Non-Education Books With Lessons for Teachers,https://www.edutopia.org/article/non-education-books-teachers,Reading outside of the education field can provide insights that infuse teachers? practice with meaning.,15-Dec-23
 Erin Beers,NEW YEAR?S RESOLUTION ESSAY WRITING (MADE EASY!) FOR MIDDLE SCHOOL,https://mrsbeers.com/happy-new-year-resolution-essay/,The return from winter break in January offers the perfect backdrop to get students thinking about their academic and personal goals for the year. I love to take the time to challenge my students to think about their work so far and where they hope to be by the end of the school year.,26-Dec-23
 Erin Beers,THE JANUARY CLASSROOM REFRESH,https://mrsbeers.com/the-january-classroom-refresh/,"I LOVE January!  Not the blustery, freezing cold that has me heavily considering a Hawaiian move or hibernation, but the opportunity for a classroom refresh and the promise that the new year offers each one of us. ",28-Dec-23
 Erin Beers,BRIAN?S WINTER NOVEL STUDY ACTIVITIES,https://mrsbeers.com/brians-winter-novel-study/,"One of my favorite winter-themed books for middle school is Brian?s Winter by Gary Paulsen. It makes for a great novel study during the winter months, as your students will be AMAZED at Brian?s ingenuity to survive the brutal winter.",4-Jan-24
Jessica Cabeen,5 Ways to Protect Your Time as a School Leader,https://www.edutopia.org/article/time-management-school-administrators,These strategies can help school leaders proactively manage their time instead of reactively responding to every request as it comes in.,9-Jan-24
 Mary Ellen Flannery,Educators Fight Book Bans Through Their Union,https://www.nea.org/nea-today/all-news-articles/educators-fight-book-bans-through-their-union,"A union-led lawsuit has achieved a temporary block on sweeping book bans, ensuring Iowa students still have the freedom to read.",10-Jan-24
Kristin Raia,Using Math Journals in Kindergarten to Deepen Students? Understanding,https://edutopia.org/article/math-journals-kindergarten,Journal prompts with multiple entry points allow teachers to differentiate instruction for young learners.,11-Jan-24
 Erin Beers,HOW TO IMPLEMENT READER?S THEATER,https://mrsbeers.com/how-to-implement-readers-theater/,"As classroom teachers, reading specialists, and tutors, it is essential to recognize the importance of making the most of instructional time with students. ",12-Jan-24
Alex Quigley,What should we do with word lists?,https://www.theconfidentteacher.com/2024/01/what-should-we-do-with-word-lists/,A question I get asked a lot from teachers and school leaders is ?what is the word list that best helps pupils grasp the academic language of school??,14-Jan-24
 Erin Beers,PEER FEEDBACK IDEAS FOR THE CLASSROOM,https://mrsbeers.com/peer-feedback-students-love/," students grabbed a clipboard, their class list, and got down to work.",15-Jan-24
"Javier Arguello, Natalie Young",6 Evidence-Based Instructional Practices Drawn From Cognitive Science,https://www.edutopia.org/article/utilizing-evidence-based-instructional-practices,These research-backed strategies have the capacity to help students learn and retain more information.,16-Jan-24
 Erin Beers,ELA SUB PLANS (MADE EASY!) FOR MIDDLE SCHOOL,https://mrsbeers.com/emergency-sub-planning-made-easy/,Emergency sub plans are one of those must-have resources for your ELA teacher toolbox.,17-Jan-24
" Judy Willis, Jay McTighe",6 Ways to Capture Students? Attention,https://www.edutopia.org/article/strategies-capture-students-attention,Teachers can use insights from neuroscience to help ensure that learners stay engaged during class and are more likely to retain information.,18-Jan-24
 James Paterson,Community Schools Grow ? And Make a Difference,https://www.nea.org/nea-today/all-news-articles/community-schools-grow-and-make-difference,"Deanna Hron touches the lives of thousands of people each year, both within bustling King Elementary School and among the families in the surrounding small town of Deer River and in the rural area of northcentral Minnesota the school serves.",18-Jan-24
Crystal Frommert,What Can Teachers Subtract From Their Workloads?,https://www.edutopia.org/article/how-teachers-can-subtract-hectic-workloads,Cutting back on things that wear teachers down can make a real difference in their well-being and professional outlook.,19-Jan-24
Crystal Frommert,What Can Teachers Subtract From Their Workloads?,https://www.edutopia.org/article/how-teachers-can-subtract-hectic-workloads,Cutting back on things that wear teachers down can make a real difference in their well-being and professional outlook.,19-Jan-24
 Cindy Long,What Can We Really Learn From the 2022 PISA Test Results?,https://www.nea.org/nea-today/all-news-articles/pisa-2022,"An education policy, research, and advocacy expert shares insights on the latest Program for International Student Assessment.",19-Jan-24
Alex Quigley,"Feedback: Improve the learner, not the work",https://www.theconfidentteacher.com/2024/01/feedback-improve-the-learner-not-the-work/,Giving some pupils timely and effective feedback on their writing can prove difficult.,20-Jan-24
Juliana Ewing,How to Use Chunking in the Classroom,https://www.edutopia.org/article/chunking-content-classroom,Chunking information?breaking it down into manageable units and scaffolding it with activities?makes learning more accessible.,22-Jan-24
Rebecca Hall,Using Discussion as a Summative Assessment,https://www.edutopia.org/article/classroom-discussion-summative-assessment,"Verbal participation in discussions is a tried-and-true formative assessment, but it can also be rubric-based and summative.",23-Jan-24
Nick Davies,Achieving Balance as a Time-Starved School Leader,https://www.edutopia.org/article/time-management-school-leaders,Making these intentional choices at and after school can help set administrators up for long-term success.,23-Jan-24
Anne Barrett,The Latest Target in Florida's Culture Wars? Sociology,https://www.nea.org/nea-today/all-news-articles/latest-target-floridas-culture-wars-sociology,Two boards appointed by Florida Gov. Ron DeSantis have taken aim at sociology courses in the state's public colleges and universities.,24-Jan-24
Mary Ellen Flannery,Taking on Antisemitism on College Campuses,https://nea.org/nea-today/all-news-articles/taking-antisemitism-college-campuses,"As incidents of campus antisemitism rise, many faculty and staff members continue to shine a light on antisemitism.",24-Jan-24
 Erin Beers,7 STEPS TO BUILD AN ENGAGING CLASSROOM ENVIRONMENT,https://mrsbeers.com/engaging-classroom-strategies/,an engaging classroom is one where students feel inspired and important.,24-Jan-24
Erin Beers,POETRY ANALYSIS FOR MIDDLE SCHOOL STUDENTS,https://mrsbeers.com/poetry-analysis-for-big-kids/,POEMS? That 5-letter word will send shivers down the spines of middle school students. ,25-Jan-24
Alex Quigley,Academic Language and the Phrases that Matter,https://www.theconfidentteacher.com/2024/01/academic-language-and-the-phrases-that-matter/,Teachers and professionals who work in education typically draw upon a wealth of academic vocabulary in their every interaction.,27-Jan-24
Med Khabach,5 Best AI Photo Tools for High School Education,https://www.educatorstechnology.com/2024/01/ai-photo-tools-for-high-school-education.html,Integrating AI into high school settings is revolutionizing both the delivery and absorption of knowledge.,29-Jan-24
Rebecca Colesworthy,How to Approach a Book Editor,https://www.chronicle.com/article/how-to-approach-a-book-editor,"If you?re working on a scholarly book manuscript, you will need, at some point, to reach out to an editor. That may mean pitching your project at a conference or submitting a proposal ?over the transom.? In writing my own monograph, I agonized, as many do, over how best to ?sell? my book project. I was working full-time outside of academe and simultaneously applying to the few remaining tenure-track jobs in (or vaguely near) my field.",30-Jan-24
Suzanne Shaffer,Communicating With Your College-Bound Teenager,https://www.parentingforcollege.com/2024/01/30/communicating-with-your-college-bound-teenager/,"During the college prep process, communication is key. You and your teen will need to discuss all sorts of topics from school choice, to finances, to college majors, and other college-related topics",30-Jan-24
Andrew Miller,Integrating Social Studies in Elementary School Lessons,https://www.edutopia.org/article/prioritizing-social-studies-elementary-school,"With school days so packed, these strategies help teachers integrate social studies concepts and skills across the curriculum.",1-Feb-24
Suzanne Shaffer,Another Delay For the FAFSA,https://www.parentingforcollege.com/2024/02/01/another-delay-for-the-fafsa/,The U.S. Department of Education announced Tuesday that colleges and universities won?t receive students? FAFSA information until at least early March.,1-Feb-24
David Cutler,How to Organize Your Digital Classroom,https://www.edutopia.org/article/effective-lms-design,"Effectively tailoring your learning management system for your class creates a dynamic, interactive space that fosters exploration and learning.",1-Feb-24
WEA,Teaching the Teachers,https://www.nea.org/nea-today/all-news-articles/teaching-teachers,WEA-led residency program aims to reduce barriers for aspiring educators.,2-Feb-24
Stephen Noonoo,6 Tech Strategies to Create Stronger Readers,https://www.edutopia.org/article/6-tech-strategies-to-create-stronger-readers,"Tools and strategies to motivate reluctant readers, facilitate deeper comprehension, and level the playing field among students of differing abilities.",2-Feb-24
Tim Walker,?No Accountability?: Vouchers Wreak Havoc on States,https://www.nea.org/nea-today/all-news-articles/no-accountability-vouchers-wreak-havoc-states,School vouchers are being used mainly by families whose children are already in private school?and state budgets are being drained as a result.,2-Feb-24
Tim Walker,How Parents Are Protecting Public Schools From Attacks,https://www.nea.org/nea-today/all-news-articles/how-parents-are-protecting-public-schools-attacks,"Attacks against public schools are nothing new, but today the very idea of public education is being threatened.",2-Feb-24
Erin Beers,Which is better? Choral Reading vs Readers Theater in middle school ,https://mrsbeers.com/choral-reading-vs-readers-theater/,"As a middle school teacher passionate about fluency, I?m always on the lookout for activities that allow me to assess student recognition of word usage and expression indicators. ",2-Feb-24
Aranya Mukerjee,Collaborating With Educational Institutions For Seamless Workforce Development Pathways,https://elearningindustry.com/collaborating-with-educational-institutions-for-seamless-workforce-development-pathways,This article discusses the importance of having educational institutions collaborate with industry to create workforce development pathways.,4-Feb-24
Aman Kumar Singh,The Quintessential Role Of Corporate Training In Organizational Excellence,https://elearningindustry.com/the-quintessential-role-of-corporate-training-in-organizational-excellence,"In the dynamic landscape of today's corporate world, the pivotal function of corporate training cannot be overstated. ",4-Feb-24
Rachelle Dené Poth,Teaching Students the Cyber Safety Basics,https://www.edutopia.org/article/teaching-students-cyber-safety,Teachers can share these tips and resources with students in lessons about cyber safety and how to protect their privacy and data online.,5-Feb-24
Daria Dudenkova,Do You Have What It Takes To Use AI In Your Classroom?,https://elearningindustry.com/do-you-have-what-it-takes-to-use-ai-in-your-classroom,Find out the fundamentals future teachers need to develop to become champions! This article breaks down the top nine communication competencies all educators should master to successfully collaborate with cutting-edge AI in the classroom.,5-Feb-24
Eric Hoover,Education Department Announces ?FAFSA College Support Strategy.?,https://www.chronicle.com/article/education-department-announces-fafsa-college-support-strategy-heres-what-it-involves,"Education Secretary Miguel A. Cardona announced on Monday a federal initiative to help colleges process the new Free Application for Federal Student Aid, known as the FAFSA.",5-Feb-24
Brady Smith,Teaching Afrofuturism in and Beyond Black History Month,https://www.edutopia.org/article/teaching-afrofuturism-middle-high-schoola,Discussing the literary and cultural movement allows teachers to center Black joy and facilitate conversations about identity and culture.,5-Feb-24
Suzanne Shaffer,10 Things parents should not do on the college application,https://www.parentingforcollege.com/2024/02/05/10-things-parents-should-not-do-on-the-college-application/,"College application season is a stressful time for the students, but a stressful time for parents as well. ",5-Feb-24
Michael Hernandez,Guiding Students to Use Storytelling Across the Curriculum,https://www.edutopia.org/article/storytelling-framework-learning,"Teachers in any subject can have students use storytelling techniques to demonstrate learning, and these story generation strategies can help them get started.",6-Feb-24
Beth McMurtrie,Teaching Evaluations are broken.Can they be fixed?,https://www.chronicle.com/article/teaching-evaluations-are-broken-can-they-be-fixed,"Superficial assessments hurt professors and students,but reform is hard.",6-Feb-24
Carly Van Der Wende,Creating a Middle School Editing Community,https://www.edutopia.org/article/creating-editing-community-middle-school,"Editing communities link students together, bringing out the best in each other and their writing.",6-Feb-24
 Jason Abril,The Lasting Value of the Personal Essay,https://www.edutopia.org/article/importance-personal-essay-high-school,This writing form has a value that goes beyond the college application as it nurtures self-reflection and inspires creativity.,7-Feb-24
Dan Bauman,Colleges Were Already Bracing for an ?Enrollment Cliff.?,https://www.chronicle.com/article/colleges-were-already-bracing-for-an-enrollment-cliff-now-there-might-be-a-second-one,The consensus view is that America will hit a peak of around 3.5 million high-school graduates sometime near 2025.,7-Feb-24
Thomas Courtney,How to Get the Most Out of a Focus Wall in Your Classroom,https://www.edutopia.org/article/using-focus-walls-middle-school,"Helping students stay on track or explore more challenging work, a focus wall offers up-to-date information and necessary scaffolds.",7-Feb-24
Miles Meijer,Using Task-Based Lessons to Enhance World Language Classes,https://www.edutopia.org/article/planning-task-based-lesson-world-language-classes,Assignments based on real-world scenarios that ask students to communicate in the target language can be highly effective.,7-Feb-24
Shalini Pathak,SchoolAI Teams Up With Jordan School District to Bring AI to K-12 Classrooms,https://www.edtechreview.in/news/schoolai-teams-up-with-jordan-school-district-to-bring-ai-to-k-12-classrooms/,"SchoolAI, the leader in integrating generative AI into K-12 classrooms, has partnered with one of Utah?s largest school districts to bring AI into classrooms for personalized one-on-one tutoring, guidance and support.",8-Feb-24
Jenn Finley,Is an Online Bachelor?s Degree in Accounting Worth It?,https://academicinfluence.com/inflection/online-education/is-online-bachelors-degree-in-accounting-worth-it,An online bachelor?s in accounting offers job opportunities in a wide range of business and financial occupations.,19-Feb-24
CLEARIAS TEAM,IndiaAI Mission,https://www.clearias.com/indiaai-mission/,,8-Mar-24
 CLEARIAS TEAM,"Indian Economy and Issues relating to planning, mobilization of resources, growth, development and employment",https://www.clearias.com/indian-economy-and-issues/,"Have you ever wondered about the Indian Economy and issues relating to planning, mobilization of resources, growth, development, and employment? Read further to know more about it.",10-Mar-24
CLEARIAS TEAM,Global Abortion Laws,https://www.clearias.com/global-abortion-laws/,"Global Abortion laws vary significantly worldwide, reflecting diverse cultural, religious, and political beliefs about reproductive rights and fetal life. These laws range from complete prohibition to full availability on request.",10-Mar-24
 Erin Beers,NEW YEAR?S WRITING ACTIVITIES AND PRINTABLES FOR AFTER WINTER BREAK,https://mrsbeers.com/new-years-ideas-for-big-kids/,"The first days back after winter break can be tricky. Students are filled with energy and excited to see their friends, but their enthusiasm for reading and writing is rarely at that same high level. I?ve found that New Year?s writing activities work really well during this time. ",    01-Jan-24 
 Erin Beers,MID-YEAR ELA CLASSROOM SETUP RESET,https://mrsbeers.com/mid-year-ela-classroom-setup-reset/,"I headed into my classroom today after two weeks away. I know that is not every teacher?s wheelhouse during a break, but it brings me peace of mind. ",    29-Dec-23 
 Erin Beers,THANKSGIVING ELA IDEAS FOR MIDDLE GRADES,https://mrsbeers.com/thanksgiving-middle-school/,"Thanksgiving is always an exciting time in the classroom. The students are buzzing with excitement for the upcoming 5-day break, fall conferences have ended, and the winter holidays are right around the corner.",  16-Nov-23
 Erin Beers,STUDENT ENGAGEMENT FOR BIG KIDS!,https://mrsbeers.com/student-engagement-for-big-kids/,"When it comes to student engagement, the biggest challenge for teachers is being able to consistently motivate and inspire students through different lesson topics and learning formats. We also have to navigate the different seasons and holiday breaks, both of which can detract from the routines we have worked so hard to reinforce.",  17-Dec-23 
 Erin Beers,NOVEMBER ELA FAVORITES FOR MIDDLE SCHOOL,https://mrsbeers.com/november-ela-favorites-middle-school/,"November is here, and this post features some fresh ideas and activities to try in your middle school language arts classroom. November offers plenty of seasonal themes you can utilize to boost student engagement. Veterans Day, Election Day, and Thanksgiving all offer excellent opportunities to connect reading and writing lessons to current events.",  2-Nov-23 
Author,Title,URL,Description,Published
